state,raw,canonical,,,,
# == Alabama ===================================================================,,,,,,
AL,Principal Campaign Committee,Candidate Committee,,,,
AL,Political Action Committee,PAC,,,,
AL,None,Other,,,,
# == Alaska ====================================================================,,,,,,
AK,Candidate,Candidate Committee,,,,
AK,Controlled,Candidate Committee,,,,
AK,PAC,PAC,,,,
AK,Special Interest,PAC,,,,
AK,Political Party,Party Committee,,,,
AK,Independent Expenditure,Independent Expenditure,,,,
AK,Ballot Proposition,Ballot Measure,,,,
AK,Initiative Proposal,Ballot Measure,,,,
AK,Entity,Other,,,,
AK,Group,Other,,,,
# == Arizona ===================================================================,,,,,,
AZ,Candidate (not participating in Clean Elections),Candidate Committee,,,,
AZ,Candidate (participating in Clean Elections),Candidate Committee,,,,
AZ,Candidate (Exploratory),Candidate Committee,,,,
AZ,$500 Threshold (Candidate),Candidate Committee,,,,
AZ,Political Action Committee,PAC,,,,
AZ,Political Action Committee (Standing),PAC,,,,
AZ,Political Action Committee (Legacy),PAC,,,,
AZ,Political Action Committee (Mega),PAC,,,,
AZ,Political Action Committee (Mega Standing),PAC,,,,
AZ,Segregated Fund,PAC,,,,
AZ,Segregated Fund (Standing),PAC,,,,
AZ,Segregated Fund (Multicandidate PAC),PAC,,,,
AZ,Political Party,Party Committee,,,,
AZ,Political Party (Standing),Party Committee,,,,
AZ,New Party,Party Committee,,,,
AZ,Independent Expenditures,Independent Expenditure,,,,
AZ,Independent Expenditures (Individual),Independent Expenditure,,,,
AZ,Independent Expenditures (Corp/LLC/Labor Org),Independent Expenditure,,,,
AZ,Independent Expenditures (Standing),Independent Expenditure,,,,
AZ,Independent Exp. (Standing) (Multicandidate PAC),Independent Expenditure,,,,
AZ,Support/Oppose (Candidate),Independent Expenditure,,,,
AZ,Support/Oppose (Ballot Measure),Ballot Measure,,,,
AZ,Support/Oppose (Special Election Ballot Measure),Ballot Measure,,,,
AZ,Recall,Ballot Measure,,,,
AZ,Political Organization,Other,,,,
AZ,Officeholder Expenses,Other,,,,
AZ,$500 Threshold (Non-Candidate),Other,,,,
AZ,None,Other,,,,
# == Arkansas ==================================================================,,,,,,
AR,Candidate,Candidate Committee,,,,
AR,Exploratory Committee,Candidate Committee,,,,
AR,Political Action Committee,PAC,,,,
AR,County Political Party Committee,Party Committee,,,,
AR,Political Party,Party Committee,,,,
