nickname,formal
AL,ALBERT
AL,ALFRED
ANDY,ANDREW
BART,BARTHOLOMEW
BERT,ALBERT
BERT,ROBERT
BILL,WILLIAM
BOB,ROBERT
BRAD,BRADLEY
CHARLIE,CHARLES
CHUCK,CHARLES
DAN,DANIEL
DAVE,DAVID
DICK,RICHARD
DON,DONALD
ED,EDWARD
FRED,FREDERICK
GENE,EUGENE
GREG,GREGORY
JACK,JOHN
JEFF,JEFFREY
JIM,JAMES
JOE,JOSEPH
KEN,KENNETH
KENNY,KENNETH
LARRY,LAWRENCE
LEN,LEONARD
LORA,LAURA
MATT,MATTHEW
MIKE,MICHAEL
NICK,NICHOLAS
PAT,PATRICK
PAT,PATRICIA
PETE,PETER
RICK,RICHARD
ROB,ROBERT
RON,RONALD
SAM,SAMUEL
STEVE,STEPHEN
STEVE,STEVEN
TED,EDWARD
TED,THEODORE
TIM,TIMOTHY
TOM,THOMAS
TONY,ANTHONY
WILL,WILLIAM
