state,raw,canonical,
# Office type alias mappings: state-specific raw office values → canonical labels.,,,
# Used to normalize cross-state office comparisons in the aggregate database.,,,
# Leave canonical blank to suppress a value from canonical_office lookups.,,,
#,,,
# Format: state,raw,canonical,
#   raw       — the exact value as it appears in the candidates/contributions office column,,,
#               (compared case-insensitively; write any case here),,,
"#   canonical — a clean cross-state label (e.g. ""Governor"""," ""State Representative"")",,
#,,,
# Canonical statewide values used across states:,,,
#   Governor | Lt. Governor | Attorney General | Secretary of State | State Treasurer,,,
#   State Auditor | State Comptroller | Commissioner of Agriculture | Commissioner of Insurance,,,
#   Commissioner of Labor | Commissioner of Education | State Representative | State Senator,,,
#,,,
"# District-specific office names (e.g. ""State Representative District: 15"") are handled",,,
# via LIKE patterns in aggregate.py and do not need entries here.,,,
#,,,
# == Alaska ====================================================================,,,
AK,GOVERNOR,Governor,
AK,LT. GOVERNOR,Lt. Governor,
AK,HOUSE,State Representative,
AK,SENATE,State Senator,
#,,,
# == Alabama ===================================================================,,,
AL,GOVERNOR,Governor,
AL,LT. GOVERNOR,Lt. Governor,
AL,ATTORNEY GENERAL,Attorney General,
AL,SECRETARY OF STATE,Secretary of State,
AL,STATE TREASURER,State Treasurer,
AL,STATE AUDITOR,State Auditor,
AL,COMMISSIONER OF AGRICULTURE & INDUSTRIES,Commissioner of Agriculture,
AL,STATE REPRESENTATIVE,State Representative,
AL,STATE SENATOR,State Senator,
#,,,
# == Arkansas ==================================================================,,,
AR,Governor,Governor,
AR,Lieutenant Governor,Lt. Governor,
AR,Attorney General,Attorney General,
AR,Secretary Of State,Secretary of State,
AR,State Treasurer,State Treasurer,
AR,Auditor Of State,State Auditor,
AR,State Representative,State Representative,
AR,State Senate,State Senator,
#,,,
# == Arizona ===================================================================,,,
AZ,Governor,Governor,
AZ,Attorney General,Attorney General,
AZ,Secretary of State,Secretary of State,
AZ,State Treasurer,State Treasurer,
AZ,State Representative,State Representative,
AZ,State Senator,State Senator,
#,,,
# == California ================================================================,,,
# CA uses 3-letter abbreviation codes for all offices.,,,
CA,GOV,Governor,
CA,LTG,Lt. Governor,
CA,ATT,Attorney General,
CA,SOS,Secretary of State,
CA,TRE,State Treasurer,
CA,CON,State Comptroller,
CA,INS,Commissioner of Insurance,
CA,ASM,State Representative,
CA,SEN,State Senator,
#,,,
# == Colorado ==================================================================,,,
CO,Governor,Governor,
CO,Lt. Governor,Lt. Governor,
CO,Attorney General,Attorney General,
CO,Secretary of State,Secretary of State,
CO,State Treasurer,State Treasurer,
CO,Colorado House,State Representative,
CO,Colorado Senate,State Senator,
#,,,
# == Connecticut ===============================================================,,,
CT,Governor,Governor,
CT,Lieutenant Governor,Lt. Governor,
CT,Attorney General,Attorney General,
CT,Secretary of the State,Secretary of State,
CT,State Treasurer,State Treasurer,
CT,State Comptroller,State Comptroller,
CT,State Representative,State Representative,
CT,State Senator,State Senator,
#,,,
# == Delaware ==================================================================,,,
DE,STATE REPRESENTATIVE,State Representative,
DE,STATE SENATOR,State Senator,
#,,,
# == Florida ===================================================================,,,
FL,Governor,Governor,
FL,Lt. Governor,Lt. Governor,
FL,Attorney General,Attorney General,
FL,Commissioner of Agriculture,Commissioner of Agriculture,
FL,Commissioner of Education,Commissioner of Education,
FL,State Representative,State Representative,
FL,State Senator,State Senator,
#,,,
# == Georgia ===================================================================,,,
"# GA stores many offices with ""District: X"" embedded in the office field.",,,
# The generic entries below map candidates filed without a district suffix.,,,
"# District-specific variants (e.g. ""State Representative District: 15"") are",,,
# handled via LIKE patterns in aggregate.py.,,,
GA,Governor,Governor,
GA,Lieutenant Governor,Lt. Governor,
GA,Attorney General,Attorney General,
GA,Secretary Of State,Secretary of State,
GA,Commissioner of Agriculture,Commissioner of Agriculture,
GA,Commissioner of Insurance,Commissioner of Insurance,
GA,Commissioner of Labor,Commissioner of Labor,
GA,State Representative,State Representative,
GA,State Senator,State Senator,
#,,,
# == Hawaii ====================================================================,,,
HI,GOVERNOR,Governor,
HI,LT. GOVERNOR,Lt. Governor,
HI,HOUSE,State Representative,
HI,SENATE,State Senator,
#,,,
# == Idaho =====================================================================,,,
# ID uses both full names and abbreviations; SEAT A/B and POSITION A/B are,,,
# both seats in the same multi-member district — all map to State Representative.,,,
ID,GOVERNOR,Governor,
ID,GOV,Governor,
ID,LIEUTENANT GOVERNOR,Lt. Governor,
ID,LT GOV,Lt. Governor,
ID,ATTORNEY GENERAL,Attorney General,
ID,SECRETARY OF STATE,Secretary of State,
ID,STATE TREASURER,State Treasurer,
ID,STATE REPRESENTATIVE,State Representative,
ID,STATE REPRESENTATIVE - SEAT A,State Representative,
ID,STATE REPRESENTATIVE - SEAT B,State Representative,
ID,STATE REPRESENTATIVE, POSITION A,State Representative
ID,STATE REPRESENTATIVE, POSITION B,State Representative
ID,STATE SENATOR,State Senator,
ID,ST SENATOR,State Senator,
#,,,
# == Illinois ==================================================================,,,
IL,GOVERNOR,Governor,
IL,LIEUTENANT GOVERNOR,Lt. Governor,
IL,ATTORNEY GENERAL,Attorney General,
IL,SECRETARY OF STATE,Secretary of State,
IL,COMPTROLLER,State Comptroller,
