raw,canonical
# Party alias mappings: raw party/ballot-line label → canonical label.
# Not state-keyed (unlike the other alias files) — party names are national.
# Consumed by src.aliases.canonical_party().
#
# New York runs fusion voting: one candidate is routinely nominated by several
# parties at once and appears on a separate ballot line for each. The NY parser
# stores every line pipe-delimited in candidates.party, canonicalising each line
# through this table first, so "Democratic|Working Families" is stable
# regardless of how NYSBOE spelled either line in a given year.
#
# --- major ---
DEM,DEMOCRAT
D,DEMOCRAT
DEMOCRAT,DEMOCRAT
DEMOCRATIC,DEMOCRAT
DEMOCRATIC PARTY,DEMOCRAT
DEMOCRATIC-FARMER-LABOR,DEMOCRAT
DFL,DEMOCRAT
REP,REPUBLICAN
R,REPUBLICAN
GOP,REPUBLICAN
REPUBLICAN,REPUBLICAN
REPUBLICAN PARTY,REPUBLICAN
# --- third parties with a NY ballot line, past or present ---
CON,CONSERVATIVE
CONS,CONSERVATIVE
CONSERVATIVE,CONSERVATIVE
WOR,WORKING FAMILIES
WF,WORKING FAMILIES
WFP,WORKING FAMILIES
WORKING FAMILIES,WORKING FAMILIES
IND,INDEPENDENCE
INDEPENDENCE,INDEPENDENCE
INDEPENDENCE PARTY,INDEPENDENCE
LIB,LIBERAL
LIBERAL,LIBERAL
LBT,LIBERTARIAN
LIBERTARIAN,LIBERTARIAN
GRE,GREEN
GRN,GREEN
GREEN,GREEN
GREEN PARTY,GREEN
RTL,RIGHT TO LIFE
RIGHT TO LIFE,RIGHT TO LIFE
SAM,SERVE AMERICA MOVEMENT
SERVE AMERICA MOVEMENT,SERVE AMERICA MOVEMENT
REF,REFORM
REFORM,REFORM
WEP,WOMEN'S EQUALITY
WOMEN'S EQUALITY,WOMEN'S EQUALITY
WOMENS EQUALITY,WOMEN'S EQUALITY
SCC,STOP COMMON CORE
STOP COMMON CORE,STOP COMMON CORE
TAX REVOLT,TAX REVOLT
SCHOOL CHOICE,SCHOOL CHOICE
SAVE OUR SCHOOLS,SAVE OUR SCHOOLS
FREEDOM,FREEDOM
SOCIALIST WORKERS,SOCIALIST WORKERS
MARIJUANA REFORM,MARIJUANA REFORM
RENT IS TOO DAMN HIGH,RENT IS TOO DAMN HIGH
THE RENT IS TOO DAMN HIGH,RENT IS TOO DAMN HIGH
ANTI-PROHIBITION,ANTI-PROHIBITION
CONSTITUTION,CONSTITUTION
TAXPAYERS,TAXPAYERS
# --- generic / no party ---
IDP,INDEPENDENT
INDEPENDENT,INDEPENDENT
UNAFFILIATED,INDEPENDENT
NON-PARTISAN,NONPARTISAN
NONPARTISAN,NONPARTISAN
NO PARTY,NONPARTISAN
OTH,OTHER
OTHER,OTHER
WRITE-IN,WRITE-IN
WRITE IN,WRITE-IN
